BudgetBookVersion	ObjectCode	BudgetYear	DataVersion	DataValue
2023/24	WAGES	2022/23	ORIGINAL	66356
2023/24	WAGES	2022/23	REVISED	66061
2023/24	WAGES	2023/24	ESTIMATE	69792
2023/24	EMPLOYER OVERHEAD	2021/22	ACTUAL	64262
2023/24	EMPLOYER OVERHEAD	2022/23	ORIGINAL	80848
2023/24	EMPLOYER OVERHEAD	2022/23	REVISED	76999
2023/24	EMPLOYER OVERHEAD	2023/24	ESTIMATE	75885
2023/24	OTHER PERSONNEL COSTS	2021/22	ACTUAL	4557
2023/24	OTHER PERSONNEL COSTS	2022/23	ORIGINAL	4829
2023/24	OTHER PERSONNEL COSTS	2022/23	REVISED	4915
2023/24	OTHER PERSONNEL COSTS	2023/24	ESTIMATE	5702
2023/24	TRAINING	2021/22	ACTUAL	1839
2023/24	TRAINING	2022/23	ORIGINAL	2834
2023/24	TRAINING	2022/23	REVISED	2774
2023/24	TRAINING	2023/24	ESTIMATE	4268
2023/24	TRANSPORT	2021/22	ACTUAL	1091
2023/24	TRANSPORT	2022/23	ORIGINAL	1944
2023/24	TRANSPORT	2022/23	REVISED	1967
2023/24	TRANSPORT	2023/24	ESTIMATE	2131
2023/24	TRAVEL	2021/22	ACTUAL	1088
2023/24	TRAVEL	2022/23	ORIGINAL	2767
2023/24	TRAVEL	2022/23	REVISED	2757
2023/24	TRAVEL	2023/24	ESTIMATE	3214
2023/24	COMMUNICATIONS	2021/22	ACTUAL	5838
2023/24	COMMUNICATIONS	2022/23	ORIGINAL	7255
2023/24	COMMUNICATIONS	2022/23	REVISED	7228
2023/24	COMMUNICATIONS	2023/24	ESTIMATE	7384
2023/24	ADVERTISING & PROMOTION	2021/22	ACTUAL	1008
2023/24	ADVERTISING & PROMOTION	2022/23	ORIGINAL	1684
2023/24	ADVERTISING & PROMOTION	2022/23	REVISED	1526
2023/24	ADVERTISING & PROMOTION	2023/24	ESTIMATE	1825
2023/24	PROFESSIONAL SERVICES	2021/22	ACTUAL	67523
2023/24	PROFESSIONAL SERVICES	2022/23	ORIGINAL	62641
2023/24	PROFESSIONAL SERVICES	2022/23	REVISED	73751
2023/24	PROFESSIONAL SERVICES	2023/24	ESTIMATE	64361
2023/24	RENTALS	2021/22	ACTUAL	11682
2023/24	RENTALS	2022/23	ORIGINAL	11926
2023/24	RENTALS	2022/23	REVISED	12086
2023/24	RENTALS	2023/24	ESTIMATE	13478
2023/24	REPAIR AND MAINTENANCE	2021/22	ACTUAL	17637
2023/24	REPAIR AND MAINTENANCE	2022/23	ORIGINAL	19776
2023/24	REPAIR AND MAINTENANCE	2022/23	REVISED	19227
2023/24	REPAIR AND MAINTENANCE	2023/24	ESTIMATE	21575
2023/24	INSURANCE	2021/22	ACTUAL	7179
2023/24	INSURANCE	2022/23	ORIGINAL	9232
2023/24	INSURANCE	2022/23	REVISED	8867
2023/24	INSURANCE	2023/24	ESTIMATE	9455
2023/24	ENERGY	2021/22	ACTUAL	12656
2023/24	ENERGY	2022/23	ORIGINAL	14847
2023/24	ENERGY	2022/23	REVISED	15990
2023/24	ENERGY	2023/24	ESTIMATE	17467
2023/24	CLOTHING, UNIFORMS, LAUNDRY	2021/22	ACTUAL	1240
2023/24	CLOTHING, UNIFORMS, LAUNDRY	2022/23	ORIGINAL	1094
2023/24	CLOTHING, UNIFORMS, LAUNDRY	2022/23	REVISED	977
2023/24	CLOTHING, UNIFORMS, LAUNDRY	2023/24	ESTIMATE	1253
2023/24	MATERIALS & SUPPLIES	2021/22	ACTUAL	21655
2023/24	MATERIALS & SUPPLIES	2022/23	ORIGINAL	23452
2023/24	MATERIALS & SUPPLIES	2022/23	REVISED	21538
2023/24	MATERIALS & SUPPLIES	2023/24	ESTIMATE	24172
2023/24	EQUIPMENT PURCHASES	2021/22	ACTUAL	4178
2023/24	EQUIPMENT PURCHASES	2022/23	ORIGINAL	599
2023/24	EQUIPMENT PURCHASES	2022/23	REVISED	857
2023/24	EQUIPMENT PURCHASES	2023/24	ESTIMATE	561
2023/24	OTHER EXPENSES	2021/22	ACTUAL	4514
2023/24	OTHER EXPENSES	2022/23	ORIGINAL	3609
2023/24	OTHER EXPENSES	2022/23	REVISED	5056
2023/24	OTHER EXPENSES	2023/24	ESTIMATE	3448
2023/24	RECEIPTS TO CREDITED TO PROGRAM	2021/22	ACTUAL	0
2023/24	RECEIPTS TO CREDITED TO PROGRAM	2022/23	ORIGINAL	-20752
2023/24	RECEIPTS TO CREDITED TO PROGRAM	2022/23	REVISED	-9773
2023/24	RECEIPTS TO CREDITED TO PROGRAM	2023/24	ESTIMATE	-19098
2023/24	GOVT. GRANTS & CONTRIBUTIONS	2021/22	ACTUAL	342650
2023/24	GOVT. GRANTS & CONTRIBUTIONS	2022/23	ORIGINAL	320330
2023/24	GOVT. GRANTS & CONTRIBUTIONS	2022/23	REVISED	334209
2023/24	GOVT. GRANTS & CONTRIBUTIONS	2023/24	ESTIMATE	325298
2023/24	DEBT CHARGES	2021/22	ACTUAL	127159
2023/24	DEBT CHARGES	2022/23	ORIGINAL	127845
2023/24	DEBT CHARGES	2022/23	REVISED	138887
2023/24	DEBT CHARGES	2023/24	ESTIMATE	129995
2022/23	SALARIES	2020/21	ACTUAL	298993
2022/23	SALARIES	2021/22	ORIGINAL	319157
2022/23	SALARIES	2021/22	REVISED	308860
2022/23	SALARIES	2022/23	ESTIMATE	331699
2022/23	WAGES	2020/21	ACTUAL	76859
2022/23	WAGES	2021/22	ORIGINAL	65343
2022/23	WAGES	2021/22	REVISED	59686
2022/23	WAGES	2022/23	ESTIMATE	66356
2022/23	EMPLOYER OVERHEAD	2020/21	ACTUAL	54948
2022/23	EMPLOYER OVERHEAD	2021/22	ORIGINAL	66306
2022/23	EMPLOYER OVERHEAD	2021/22	REVISED	65232
2022/23	EMPLOYER OVERHEAD	2022/23	ESTIMATE	80848
2022/23	OTHER PERSONNEL COSTS	2020/21	ACTUAL	4384
2022/23	OTHER PERSONNEL COSTS	2021/22	ORIGINAL	5201
2022/23	OTHER PERSONNEL COSTS	2021/22	REVISED	5252
2022/23	OTHER PERSONNEL COSTS	2022/23	ESTIMATE	4829
2022/23	TRAINING	2020/21	ACTUAL	1291
2022/23	TRAINING	2021/22	ORIGINAL	2851
2022/23	TRAINING	2021/22	REVISED	2360
2022/23	TRAINING	2022/23	ESTIMATE	2834
2022/23	TRANSPORT	2020/21	ACTUAL	1919
2022/23	TRANSPORT	2021/22	ORIGINAL	2093
2022/23	TRANSPORT	2021/22	REVISED	1795
2022/23	TRANSPORT	2022/23	ESTIMATE	1944
2022/23	TRAVEL	2020/21	ACTUAL	441
2022/23	TRAVEL	2021/22	ORIGINAL	2612
2022/23	TRAVEL	2021/22	REVISED	2290
2022/23	TRAVEL	2022/23	ESTIMATE	2767
2022/23	COMMUNICATIONS	2020/21	ACTUAL	6109
2022/23	COMMUNICATIONS	2021/22	ORIGINAL	7560
2022/23	COMMUNICATIONS	2021/22	REVISED	7313
2022/23	COMMUNICATIONS	2022/23	ESTIMATE	7255
2022/23	ADVERTISING & PROMOTION	2020/21	ACTUAL	1250
2022/23	ADVERTISING & PROMOTION	2021/22	ORIGINAL	2566
2022/23	ADVERTISING & PROMOTION	2021/22	REVISED	1661
2022/23	ADVERTISING & PROMOTION	2022/23	ESTIMATE	1684
2022/23	PROFESSIONAL SERVICES	2020/21	ACTUAL	66882
2022/23	PROFESSIONAL SERVICES	2021/22	ORIGINAL	49686
2022/23	PROFESSIONAL SERVICES	2021/22	REVISED	68462
2022/23	PROFESSIONAL SERVICES	2022/23	ESTIMATE	62641
2022/23	RENTALS	2020/21	ACTUAL	11406
2022/23	RENTALS	2021/22	ORIGINAL	12340
2022/23	RENTALS	2021/22	REVISED	12850
2022/23	RENTALS	2022/23	ESTIMATE	11926
2022/23	REPAIR AND MAINTENANCE	2020/21	ACTUAL	16922
2022/23	REPAIR AND MAINTENANCE	2021/22	ORIGINAL	18688
2022/23	REPAIR AND MAINTENANCE	2021/22	REVISED	18830
2022/23	REPAIR AND MAINTENANCE	2022/23	ESTIMATE	19776
2022/23	INSURANCE	2020/21	ACTUAL	6869
2022/23	INSURANCE	2021/22	ORIGINAL	9116
2022/23	INSURANCE	2021/22	REVISED	11001
2022/23	INSURANCE	2022/23	ESTIMATE	9232
2022/23	ENERGY	2020/21	ACTUAL	11219
2022/23	ENERGY	2021/22	ORIGINAL	15923
2022/23	ENERGY	2021/22	REVISED	14760
2022/23	ENERGY	2022/23	ESTIMATE	14847
2022/23	CLOTHING, UNIFORMS, LAUNDRY	2020/21	ACTUAL	1109
2022/23	CLOTHING, UNIFORMS, LAUNDRY	2021/22	ORIGINAL	1107
2022/23	CLOTHING, UNIFORMS, LAUNDRY	2021/22	REVISED	1033
2022/23	CLOTHING, UNIFORMS, LAUNDRY	2022/23	ESTIMATE	1094
2022/23	MATERIALS & SUPPLIES	2020/21	ACTUAL	21716
2022/23	MATERIALS & SUPPLIES	2021/22	ORIGINAL	33303
2022/23	MATERIALS & SUPPLIES	2021/22	REVISED	23013
2022/23	MATERIALS & SUPPLIES	2022/23	ESTIMATE	23452
2022/23	EQUIPMENT PURCHASES	2020/21	ACTUAL	4772
2022/23	EQUIPMENT PURCHASES	2021/22	ORIGINAL	1480
2022/23	EQUIPMENT PURCHASES	2021/22	REVISED	2573
2022/23	EQUIPMENT PURCHASES	2022/23	ESTIMATE	599
2022/23	OTHER EXPENSES	2020/21	ACTUAL	2882
2022/23	OTHER EXPENSES	2021/22	ORIGINAL	3387
2022/23	OTHER EXPENSES	2021/22	REVISED	3324
2022/23	OTHER EXPENSES	2022/23	ESTIMATE	3609
2022/23	RECEIPTS TO CREDITED TO PROGRAM	2020/21	ACTUAL	-163
2022/23	RECEIPTS TO CREDITED TO PROGRAM	2021/22	ORIGINAL	-21852
2022/23	RECEIPTS TO CREDITED TO PROGRAM	2021/22	REVISED	-9725
2022/23	RECEIPTS TO CREDITED TO PROGRAM	2022/23	ESTIMATE	-20752
2022/23	GOVT. GRANTS & CONTRIBUTIONS	2020/21	ACTUAL	407615
2022/23	GOVT. GRANTS & CONTRIBUTIONS	2021/22	ORIGINAL	306038
2022/23	GOVT. GRANTS & CONTRIBUTIONS	2021/22	REVISED	344013
2022/23	GOVT. GRANTS & CONTRIBUTIONS	2022/23	ESTIMATE	320330
2022/23	DEBT CHARGES	2020/21	ACTUAL	129363
2022/23	DEBT CHARGES	2021/22	ORIGINAL	127845
2022/23	DEBT CHARGES	2021/22	REVISED	127660
2022/23	DEBT CHARGES	2022/23	ESTIMATE	127845
2021/22	SALARIES	2019/20	ACTUAL	312532
2021/22	SALARIES	2020/21	ORIGINAL	336705
2021/22	SALARIES	2020/21	REVISED	319210
2021/22	SALARIES	2021/22	ESTIMATE	319157
2021/22	WAGES	2019/20	ACTUAL	78904
2021/22	WAGES	2020/21	ORIGINAL	69407
2021/22	WAGES	2020/21	REVISED	69208
2021/22	WAGES	2021/22	ESTIMATE	65343
2021/22	EMPLOYER OVERHEAD	2019/20	ACTUAL	81371
2021/22	EMPLOYER OVERHEAD	2020/21	ORIGINAL	79012
2021/22	EMPLOYER OVERHEAD	2020/21	REVISED	52903
2021/22	EMPLOYER OVERHEAD	2021/22	ESTIMATE	66306
2021/22	OTHER PERSONNEL COSTS	2019/20	ACTUAL	5284
2021/22	OTHER PERSONNEL COSTS	2020/21	ORIGINAL	5458
2021/22	OTHER PERSONNEL COSTS	2020/21	REVISED	5377
2021/22	OTHER PERSONNEL COSTS	2021/22	ESTIMATE	5201
2021/22	TRAINING	2019/20	ACTUAL	2316
2021/22	TRAINING	2020/21	ORIGINAL	3752
2021/22	TRAINING	2020/21	REVISED	2756
2021/22	TRAINING	2021/22	ESTIMATE	2851
2021/22	TRANSPORT	2019/20	ACTUAL	2372
2021/22	TRANSPORT	2020/21	ORIGINAL	3571
2021/22	TRANSPORT	2020/21	REVISED	2292
2021/22	TRANSPORT	2021/22	ESTIMATE	2093
2021/22	TRAVEL	2019/20	ACTUAL	2982
2021/22	TRAVEL	2020/21	ORIGINAL	3416
2021/22	TRAVEL	2020/21	REVISED	2456
2021/22	TRAVEL	2021/22	ESTIMATE	2612
2021/22	COMMUNICATIONS	2019/20	ACTUAL	6421
2021/22	COMMUNICATIONS	2020/21	ORIGINAL	7218
2021/22	COMMUNICATIONS	2020/21	REVISED	7010
2021/22	COMMUNICATIONS	2021/22	ESTIMATE	7560
2021/22	ADVERTISING & PROMOTION	2019/20	ACTUAL	1253
2021/22	ADVERTISING & PROMOTION	2020/21	ORIGINAL	1991
2021/22	ADVERTISING & PROMOTION	2020/21	REVISED	2033
2021/22	ADVERTISING & PROMOTION	2021/22	ESTIMATE	2566
2021/22	PROFESSIONAL SERVICES	2019/20	ACTUAL	41731
2021/22	PROFESSIONAL SERVICES	2020/21	ORIGINAL	49369
2021/22	PROFESSIONAL SERVICES	2020/21	REVISED	66073
2021/22	PROFESSIONAL SERVICES	2021/22	ESTIMATE	49686
2021/22	RENTALS	2019/20	ACTUAL	10731
2021/22	RENTALS	2020/21	ORIGINAL	11973
2021/22	RENTALS	2020/21	REVISED	12890
2021/22	RENTALS	2021/22	ESTIMATE	12340
2021/22	REPAIR AND MAINTENANCE	2019/20	ACTUAL	16184
2021/22	REPAIR AND MAINTENANCE	2020/21	ORIGINAL	19757
2021/22	REPAIR AND MAINTENANCE	2020/21	REVISED	19284
2021/22	REPAIR AND MAINTENANCE	2021/22	ESTIMATE	18688
2021/22	INSURANCE	2019/20	ACTUAL	7403
2021/22	INSURANCE	2020/21	ORIGINAL	9063
2021/22	INSURANCE	2020/21	REVISED	9693
2021/22	INSURANCE	2021/22	ESTIMATE	9116
2021/22	ENERGY	2019/20	ACTUAL	13803
2021/22	ENERGY	2020/21	ORIGINAL	16611
2021/22	ENERGY	2020/21	REVISED	13998
2021/22	ENERGY	2021/22	ESTIMATE	15923
2021/22	CLOTHING, UNIFORMS, LAUNDRY	2019/20	ACTUAL	913
2021/22	CLOTHING, UNIFORMS, LAUNDRY	2020/21	ORIGINAL	1163
2021/22	CLOTHING, UNIFORMS, LAUNDRY	2020/21	REVISED	1106
2021/22	CLOTHING, UNIFORMS, LAUNDRY	2021/22	ESTIMATE	1107
2021/22	MATERIALS & SUPPLIES	2019/20	ACTUAL	16585
2021/22	MATERIALS & SUPPLIES	2020/21	ORIGINAL	23316
2021/22	MATERIALS & SUPPLIES	2020/21	REVISED	25657
2021/22	MATERIALS & SUPPLIES	2021/22	ESTIMATE	33303
2021/22	EQUIPMENT PURCHASES	2019/20	ACTUAL	575
2021/22	EQUIPMENT PURCHASES	2020/21	ORIGINAL	547
2021/22	EQUIPMENT PURCHASES	2020/21	REVISED	2166
2021/22	EQUIPMENT PURCHASES	2021/22	ESTIMATE	1480
2021/22	OTHER EXPENSES	2019/20	ACTUAL	20804
2021/22	OTHER EXPENSES	2020/21	ORIGINAL	3387
2021/22	OTHER EXPENSES	2020/21	REVISED	4128
2021/22	OTHER EXPENSES	2021/22	ESTIMATE	3387
2021/22	RECEIPTS TO CREDITED TO PROGRAM	2019/20	ACTUAL	0
2021/22	RECEIPTS TO CREDITED TO PROGRAM	2020/21	ORIGINAL	-23149
2021/22	RECEIPTS TO CREDITED TO PROGRAM	2020/21	REVISED	-25383
2021/22	RECEIPTS TO CREDITED TO PROGRAM	2021/22	ESTIMATE	-21852
2021/22	GOVT. GRANTS & CONTRIBUTIONS	2019/20	ACTUAL	323966
2021/22	GOVT. GRANTS & CONTRIBUTIONS	2020/21	ORIGINAL	312904
2021/22	GOVT. GRANTS & CONTRIBUTIONS	2020/21	REVISED	414279
2021/22	GOVT. GRANTS & CONTRIBUTIONS	2021/22	ESTIMATE	306038
2021/22	DEBT CHARGES	2019/20	ACTUAL	105674
2021/22	DEBT CHARGES	2020/21	ORIGINAL	121495
2021/22	DEBT CHARGES	2020/21	REVISED	128845
2021/22	DEBT CHARGES	2021/22	ESTIMATE	127845
2020/21	SALARIES	2018/19	ACTUAL	306056
2020/21	SALARIES	2019/20	ORIGINAL	332594
2020/21	SALARIES	2019/20	REVISED	326448
2020/21	SALARIES	2020/21	ESTIMATE	336705
2020/21	WAGES	2018/19	ACTUAL	79659
2020/21	WAGES	2019/20	ORIGINAL	69374
2020/21	WAGES	2019/20	REVISED	68772
2020/21	WAGES	2020/21	ESTIMATE	69407
2020/21	EMPLOYER OVERHEAD	2018/19	ACTUAL	78061
2020/21	EMPLOYER OVERHEAD	2019/20	ORIGINAL	79406
2020/21	EMPLOYER OVERHEAD	2019/20	REVISED	79408
2020/21	EMPLOYER OVERHEAD	2020/21	ESTIMATE	79012
2020/21	OTHER PERSONNEL COSTS	2018/19	ACTUAL	5779
2020/21	OTHER PERSONNEL COSTS	2019/20	ORIGINAL	5643
2020/21	OTHER PERSONNEL COSTS	2019/20	REVISED	5773
2020/21	OTHER PERSONNEL COSTS	2020/21	ESTIMATE	5458
2020/21	TRAINING	2018/19	ACTUAL	2046
2020/21	TRAINING	2019/20	ORIGINAL	3594
2020/21	TRAINING	2019/20	REVISED	3365
2020/21	TRAINING	2020/21	ESTIMATE	3752
2020/21	TRANSPORT	2018/19	ACTUAL	2185
2020/21	TRANSPORT	2019/20	ORIGINAL	4348
2020/21	TRANSPORT	2019/20	REVISED	3035
2020/21	TRANSPORT	2020/21	ESTIMATE	3571
2020/21	TRAVEL	2018/19	ACTUAL	2126
2020/21	TRAVEL	2019/20	ORIGINAL	3408
2020/21	TRAVEL	2019/20	REVISED	3836
2020/21	TRAVEL	2020/21	ESTIMATE	3416
2020/21	COMMUNICATIONS	2018/19	ACTUAL	6562
2020/21	COMMUNICATIONS	2019/20	ORIGINAL	7201
2020/21	COMMUNICATIONS	2019/20	REVISED	7421
2020/21	COMMUNICATIONS	2020/21	ESTIMATE	7218
2020/21	ADVERTISING & PROMOTION	2018/19	ACTUAL	1381
2020/21	ADVERTISING & PROMOTION	2019/20	ORIGINAL	2395
2020/21	ADVERTISING & PROMOTION	2019/20	REVISED	2280
2020/21	ADVERTISING & PROMOTION	2020/21	ESTIMATE	1991
2020/21	PROFESSIONAL SERVICES	2018/19	ACTUAL	43959
2020/21	PROFESSIONAL SERVICES	2019/20	ORIGINAL	44006
2020/21	PROFESSIONAL SERVICES	2019/20	REVISED	60678
2020/21	PROFESSIONAL SERVICES	2020/21	ESTIMATE	49369
2020/21	RENTALS	2018/19	ACTUAL	11470
2020/21	RENTALS	2019/20	ORIGINAL	11977
2020/21	RENTALS	2019/20	REVISED	11768
2020/21	RENTALS	2020/21	ESTIMATE	11973
2020/21	REPAIR AND MAINTENANCE	2018/19	ACTUAL	16534
2020/21	REPAIR AND MAINTENANCE	2019/20	ORIGINAL	19781
2020/21	REPAIR AND MAINTENANCE	2019/20	REVISED	18823
2020/21	REPAIR AND MAINTENANCE	2020/21	ESTIMATE	19757
2020/21	INSURANCE	2018/19	ACTUAL	6796
2020/21	INSURANCE	2019/20	ORIGINAL	8907
2020/21	INSURANCE	2019/20	REVISED	10364
2020/21	INSURANCE	2020/21	ESTIMATE	9063
2020/21	ENERGY	2018/19	ACTUAL	14592
2020/21	ENERGY	2019/20	ORIGINAL	16510
2020/21	ENERGY	2019/20	REVISED	16015
2020/21	ENERGY	2020/21	ESTIMATE	16611
2020/21	CLOTHING, UNIFORMS, LAUNDRY	2018/19	ACTUAL	1363
2020/21	CLOTHING, UNIFORMS, LAUNDRY	2019/20	ORIGINAL	1098
2020/21	CLOTHING, UNIFORMS, LAUNDRY	2019/20	REVISED	968
2020/21	CLOTHING, UNIFORMS, LAUNDRY	2020/21	ESTIMATE	1163
2020/21	MATERIALS & SUPPLIES	2018/19	ACTUAL	18654
2020/21	MATERIALS & SUPPLIES	2019/20	ORIGINAL	23415
2020/21	MATERIALS & SUPPLIES	2019/20	REVISED	21868
2020/21	MATERIALS & SUPPLIES	2020/21	ESTIMATE	23316
2020/21	EQUIPMENT PURCHASES	2018/19	ACTUAL	334
2020/21	EQUIPMENT PURCHASES	2019/20	ORIGINAL	605
2020/21	EQUIPMENT PURCHASES	2019/20	REVISED	660
2020/21	EQUIPMENT PURCHASES	2020/21	ESTIMATE	547
2020/21	OTHER EXPENSES	2018/19	ACTUAL	4492
2020/21	OTHER EXPENSES	2019/20	ORIGINAL	3069
2020/21	OTHER EXPENSES	2019/20	REVISED	3088
2020/21	OTHER EXPENSES	2020/21	ESTIMATE	3387
2020/21	RECEIPTS TO CREDITED TO PROGRAM	2018/19	ACTUAL	0
2020/21	RECEIPTS TO CREDITED TO PROGRAM	2019/20	ORIGINAL	-21955
2020/21	RECEIPTS TO CREDITED TO PROGRAM	2019/20	REVISED	-31440
2020/21	RECEIPTS TO CREDITED TO PROGRAM	2020/21	ESTIMATE	-23149
2020/21	TRANSFERS & OTHER FUNDS	2018/19	ACTUAL	64223
2020/21	TRANSFERS & OTHER FUNDS	2019/20	ORIGINAL	0
2020/21	TRANSFERS & OTHER FUNDS	2019/20	REVISED	0
2020/21	TRANSFERS & OTHER FUNDS	2020/21	ESTIMATE	0
2020/21	GOVT. GRANTS & CONTRIBUTIONS	2018/19	ACTUAL	319155
2020/21	GOVT. GRANTS & CONTRIBUTIONS	2019/20	ORIGINAL	314435
2020/21	GOVT. GRANTS & CONTRIBUTIONS	2019/20	REVISED	326635
2020/21	GOVT. GRANTS & CONTRIBUTIONS	2020/21	ESTIMATE	312904
2020/21	DEBT CHARGES	2018/19	ACTUAL	124031
2020/21	DEBT CHARGES	2019/20	ORIGINAL	116550
2020/21	DEBT CHARGES	2019/20	REVISED	119650
2020/21	DEBT CHARGES	2020/21	ESTIMATE	121495
2019/20	SALARIES	2017/18	ACTUAL	292060
2019/20	SALARIES	2018/19	ORIGINAL	326048
2019/20	SALARIES	2018/19	REVISED	318806
2019/20	SALARIES	2019/20	ESTIMATE	332594
2019/20	WAGES	2017/18	ACTUAL	77644
2019/20	WAGES	2018/19	ORIGINAL	68165
2019/20	WAGES	2018/19	REVISED	66187
2019/20	WAGES	2019/20	ESTIMATE	69374
